L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
adnet,/ˈatnet/,to have,,
aj,/aj/,"also, too",,
almatj,/ˈalmat͡ʃ/,"person, human",,
áhttje,/ˈaːʰt͡ʃːe/,father,,
badde,/ˈpatːe/,ribbon,,
bägga,/ˈpɛkːa/,wind,,
dá,/ˈtaː/,these,,
drodnik,/trotnik/,queen,,
du,/tu/,those,,
dåhpe,/ˈtɔʰpe/,house,,
girrje,/ˈkirːje/,book,,
girrko,/ˈkirːʰko/,church,kirkja,kˈɜːkd͡ʒə
gummpi,/ˈkumːpi/,wolf (Canis lupus),,
gåttjåt,/ˈkɔt͡ʃːɔt/,to urinate,,
juo,/jo/,already,,
jus,/jus/,if,,
káffa,/ˈkaːfːa/,coffee,,
mannje,/ˈmaɲːe/,daughter-in-law,,
maŋŋel,/ˈmaŋːel/,"afterwards, after that",,
máhttet,/ˈmaːʰtːet/,to be able to,,
murrko,/ˈmurːʰko/,fog,,
namma,/ˈnamːa/,name,,
náhppe,/ˈnaːʰpːe/,milking cup,,
sálbma,/ˈsaːlpma/,"(religion, music) psalm",,
sálbmagirrje,/ˈsaːlpma.ˌkirːje/,"(religion) psalmbook, hymnal",,
tjájbmat,/t͡ʃaːjpmat/,to laugh,,
tjidtje,/ˈt͡ʃit͡ʃːe/,mother,,
vádtset,/ˈvaːt͡sːet/,to go,,
vuanntsa,/ˈvua̯nːʰt͡sa/,hen,,
