L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ar,/ʔar/,(cardinal) two,,
at,/at/,to swell,,
bam,/bam/,to eat,,
bha,/bha/,good,,
blooh,/bloʔ/,salt,,
blu,/blu/,thigh,,
bnai,/bnaj/,"month, moon",,
bri,/bri/,"place, area",,
bru,/bru/,"person, u bru ― man, uni u bru ― this man, ka bru ―",,
bu,/bu/,"to suck, to suckle",,
chiphaw,/t͡ʃipʰaw/,(cardinal) ten,,
chispah,/t͡ʃispaʔ/,(cardinal) one hundred,,
chit,/t͡ʃit/,hot,,
chkur,/t͡ʃkur/,ear,,
chnong,/t͡ʃnɔŋ/,village,,
chyeiñ,/t͡ʃʔeɲ/,bone,,
chyrtoh,/t͡ʃr̩tɔʔ/,praying mantis,,
dakha,/dakʰa/,fish,,
deiñ,/deɲ/,tree,,
dih,/diʔ/,to drink,,
diñ,/diɲ/,fire,,
hajar,/had͡ʒar/,(cardinal) thousand,,
hær,/hɛr/,to fly,,
im,/ʔim/,to live,,
ja,/d͡ʒa/,cooked rice,,
kba,/kba/,rice (paddy),,
khla,/kʰla/,tiger,,
khlieh,/kʰleʔ/,head,,
khloo,/kʰlo/,forest,,
khmat,/kʰmat/,"eye, face",,
khmut,/kʰmut/,nose,,
khne,/kʰne/,rat; mouse,,
khon,/kʰɔn/,child,,
khoo,/kʰo/,husked rice,,
khroh,/kʰrɔʔ/,frog,,
khynde,/kʰn̩de/,(cardinal) nine,,
kjat,/kd͡ʒat/,leg,,
ksaw,/ksaw/,dog,,
ksu,/ksu/,grandchild,,
kti,/kti/,hand; arm,,
ku,/ku/,to climb,,
kyam,/kd͡ʒam/,"cold, Antonym: chit",,
kyntein,/kn̩ten/,"word, mouthful, chi kyntein u pathi ― a mouthful of",,
ladaw,/ladaw/,banana,,
lai,/laj/,to go,,
le,/le/,(cardinal) three,,
loom,/lom/,hill,,
lymmeiñ,/lm̩meɲ/,tooth,,
lyoh,/lʔɔʔ/,cloud,,
lyær,/lʔɛr/,"wind, air",,
mait,/mat̪/,mosquito,,
mrad,/mrad/,animal,,
mynthu,/mn̩tʰu/,to spit,,
nar,/nar/,iron (metal),,
nga,/ŋa/,me,,
ngap,/ŋap/,bee,,
ngut,/ŋut/,"general classifier for humans, soo ngut ki khon ― four",,
o,/ʔɔ/,I,,
phra,/pʰra/,(cardinal) eight,,
pseiñ,/pseɲ/,snake,,
pyut,/pʔut/,to rot,,
reñ,/rɛɲ/,"horn, tusk",,
rwai,/rwaj/,to sing,,
san,/san/,(cardinal) five,,
sapæt,/sapɛt/,"navel, belly button",,
sim,/sim/,bird,,
skur,/skur/,school,school,skˈuːl
snam,/snam/,blood,,
sngi,/sŋi/,"day, sun",,
sniang,/sniaŋ/,pig,,
sniooh,/sɲoʔ/,hair,,
snæm,/snɛm/,year,,
soh,/sɔʔ/,fruit,,
soo,/so/,(cardinal) four,,
sum,/sum/,to bathe,,
sung,/suŋ/,"lake, Synonyms: nan, pung",,
syiar,/sʔiar/,chicken,,
symbe,/sm̩be/,seed,,
syntu,/sn̩tu/,flower,,
sñiaw,/sɲiaw/,"to hear, to feel",,
sñiawthooh,/sɲiawtʰoh/,to understand,,
tham,/tʰam/,crab,,
thiah,/tʰiaʔ/,to sleep,,
thlu,/tʰlu/,hole,,
thylleij,/tʰl̩leɟ/,tongue,,
thymme,/tʰm̩me/,new,,
tit,/tit/,mushroom,,
tpai,/tpaj/,ash,,
tylli,/tl̩li/,"general classifier for non-humans
ar tylli ki syiar ― two chickens",,
tyrsim,/tr̩sim/,"claw, nail",,
um,/ʔum/,water,,
wah,/waʔ/,river,,
waroh,/warɔʔ/,all,,
wi,/wi/,(cardinal) one,,
yam,/jam/,"to cry, to weep",,
yap,/jap/,to die,,
yaw,/jaw/,"market, week",,
ymbu,/m̩bu/,breast,,
ynru,/n̩ru/,(cardinal) six,,
ynñiaw,/n̩ɲiaw/,(cardinal) seven,,
yoo,/jo/,to see,,
