L2_orth,L2_ipa,L2_gloss,L2_etym
canciari,kˈæŋiɚ,"to change, Synonyms: mutari, mudificari, to exchange",cangier
cangiari,kˈæŋiɚ,"to change, to exchange",cangier
Castigghia,kæsˈɛlə,"(geography, historical) Castile (a region of Spain)",Castella
ciàguru,ˈæstɚɹˌɪsk flˈæɡ jˈuː ɹˈʌm,"odor, smell, fragrance",*flag(u)rum
cumpagnu,kəmpˈæɡnoʊ,companion,compagno
mutari,mjˈuːɾɛɹ,"to change, transform, mutate, Synonyms: canciari, modificari",mūtāre
novu,nˈoʊvəs,"new, original, fresh, young, incoming, novu di zicca",novus
picca,pˈɪkə,"little, not much, (followed by an adjective) little,",picca
sausizza,sælsˈɪʃə,A food made of ground meat (or meat substitute) and,salsīcia
studenti,stuːdˈɛnti,student (male),studentī
sturenti,stuːdˈɛnti,student (male),studentī
suppa,səpˈæ,soup,suppa
Texas,tˈɛksəs,Texas (a state of the United States),Texas
tirari,ˈæstɚɹˌɪsk tˈaɪɹoʊtˈɜːɹɛɹ,"to drag, draw, haul, pull, tug, to throw, toss; blow,","*tirō, tirāre"
travagghiu,tɹˈævɐɡhˌaɪɚɹi,"job, duty; work, activity, labor, operation; workplace,",travagghiari
vuccirìa,bˈaʊt͡ʃɚɹi,"butcher's, butchershop, Synonyms: carnizzarìa, ghianca,",boucherie
zuppa,səpˈæ,soup,suppa
