L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
анбоштан,[æmbɔːʃtæn],to fill up,,
андохтан,[ændɔːxtæn],to throw,,
анҷомидан,[ændʒɔːmiːdæn],to end,,
арзидан,[ærzidæn],to cost,,
Арманистон,/ærmænistɔːn/,"Armenia (a country in Europe and Asia)
Арманистон яке аз кишварҳои Осиё ва Аврупо аст. ― Armaniston yake az kišvarhoyi Osiyo va Avrupo ast. ― (please add an English translation of this usage example)",,
арғамчин,/ærʁæmtʃin/,rope,,
асп,/æsp/,"horse, knight (chess)",,
афкандан,[æfkændæn],to throw,,
афрохтан,/afɾɔːxˈtan/,"to raise, to elevate",,
афрӯхтан,[æfrɵxtæn],to kindle,,
Афғонистон,/afɣɔːnistɔːn/,Afghanistan (a country in Asia),,
ба,/bæ/,at,,
бале,[ˈbale],(formal) yes,,
бародар,/baɾɔːˈdaɾ/,brother,,
барра,/bærːæ/,lamb,,
баҳр,/bæhr/,sea,,
бе,/be/,without,,
бе-,/be/,-less,,
бемор,[beˈmɔːɾ],sick,,
беша,/beʃæ/,"forest, wood",,
бинӣ,/biˈniː/,nose,,
бо,/bɔː/,with,,
бод,/bɔːd/,wind,,
бол,/bɔːl/,wing,,
бом,/bɔːm/,roof,,
борон,/bɔːˈrɔːn/,rain,,
боғ,/bɔːʁ/,garden,,
будан,[buˈdæn],"to be
Теҳрон пойтахт ва бузургтарин шаҳри Эрон аст.
Tehron poytaxt va buzurgtarin šahri Eron ast.
Tehran is the capital and largest city of Iran.",,
буз,/buz/,goat,,
бузург,/buzurɡ/,"big, large",,
бунёдӣ,[bunjɔːˈdij],fundamental; basic,,
бурдан,[burdæn],to carry,,
бӯсидан,[bɵːsiˈd̪an],to kiss,,
вай,/vaj/,"(literary, formal) he, she",,
варзидан,[værzidæn],"to exercise, to train, to cultivate",,
ватан,/vatan/,"homeland, home country, motherland, fatherland, mother",,
вақт,/vaqt/,"time, hour",,
Википедиа,/vikipedia/,Wikipedia,,
вожа,/vɔːˈʒa/,"word, term",,
газидан,[ɡæzidæn],to bite,,
гандидан,[ɡændidæn],"to rot, decay, go bad, spoil",,
гандум,/ɡændum/,wheat,,
гардан,/ɡærdæn/,neck,,
гардидан,[ɡærdidæn],to turn,,
гаштан,[ɡæʃtæn],to turn,,
гирифтан,[ɡirifˈtan],to take,,
гоидан,/ɡɔjidan/,"(vulgar) to fuck, to screw, to hump, Synonym: (vulgar)",,
гул,/ɡul/,"flower, blossom, rose",,
гурба,/ɡurˈba/,cat,,
гуфтан,[ɡuftæn],"to say, to tell, to talk, to speak",,
гӯсфанд,/ɡɵsˈfand/,sheep,,
гӯш,/ɡɵʃ/,ear,,
гӯшт,/ɡɵːʃt/,meat,,
дандон,/dændɔːn/,tooth,,
дар,/dær/,at,,
дар,/dær/,door,,
дарё,/darjɔː/,sea,,
даҳон,/dæˈhɔːn/,(anatomy) mouth,,
деҳқон,[d̪ehqɔn],farmer,,
дил,/dil/,heart,,
додан,[dɔːdæn],to give,,
доштан,/dɔːʃtæn/,"to have, to hold",,
дум,/dum/,tail,,
душанбе,/duʃanbe/,Monday,,
дӯстона,/dɵːstɔːnæ/,friendly,,
дӯш,/dɵʃ/,(literary) shoulder,,
ё,[jɔː],"or
Имрӯз‍ ё фардо меравед? ― Imrüz‍ yo fardo meraved? ― Are you going today or tomorrow?",,
ё,[jɔː],oh,,
ё,[jɔː],"The seventh letter of the Tajik alphabet, written in the Cyrillic script.",,
жарф,/ʒaɾf/,deep,,
забон,/zæˈbɔːn/,"tongue, language",*hižwáH,ˈæstɚɹˌɪsk hˈaɪ dˈʌbəljˌuː
зиндагӣ,[zindaˈɡiː],life,,
зону,/zɔːnu/,knee,,
кардан,[karˈdan],"to do, to make",,
кирм,/kirm/,worm,,
кишоварз,[kʲiʃɔːvæɾz],farmer,,
киштан,[kiʃtæn],to sow,,
корбар,[kʰɔːɾˈbæɾ],user,,
корез,/kɔːˈɾeːz/,"qanat, kariz/karez",,
курбока,/kuɾbɔkɑ/,"frog, toad",,
куштан,[kuʃtæn],to kill,,
кӯл,/kɵl/,lake,,
кӯр,/kɵːr/,blind,,
макидан,[mækidæn],to suck,,
ман,/mæn/,I,,
мағз,/maʁz/,brain,,
мева,/mevæ/,fruit,,
меҳан,/mehan/,"homeland, native country",,
мо,/mɔː/,we,,
модар,/mɔːdær/,"mother, mama",,
мор,/mɔːr/,snake,,
моҳӣ,/mɔːˈhiː/,fish,,
музей,/muˈzej/,museum,,
мурдан,[murdæn],to die,,
мухлис,/muχˈlis/,"fan, supporter, follower, devotee",,
мӯ,/mɵ/,hair,,
мӯй,/mɵj/,hair,,
навиштан,/naviʃˈtan/,to write,,
навохтан,/navɔxtan/,to caress,,
Наврӯз,[nævˈɾɵːz],"Nowruz, New Year in the Iranian/Zoroastrian calendar,",,
намоз,[naˈmɔːz],"prayer, (Islam) salat",,
наҳр,/næhr/,river,,
ном,/nɔːm/,"name, reputation",,
нохун,/nɔːxun/,"nail, fingernail",,
нӯшидан,[nɵʃidæn],to drink,,
об,[ɔːb],water,,
овардан,[ɔːvaɾˈdan],to bring,,
озмудан,[ɔːzmudæn],to test,,
омадан,[ɔːmædæn],"to come, to arrive",,
он,/ɔːn/,that,,
он,/ɔːn/,that,,
осон,[ɔːˈsɔːn],easy,,
офтоб,/ɔftɔb/,sun,,
охир,/ɔːχiɾ/,"last, ultimate",,
охир,/ɔːχiɾ/,"at last, finally",,
охир,/ɔːχiɾ/,end,,
ош,/ɔːʃ/,cooked food,,
панҷшанбе,/pand͡ʒʃanbe/,Thursday,,
пар,/pær/,feather,,
паранда,/paɾanˈda/,bird,,
паридан,[paɾid̪an],to fly,,
парранда,/paranˈda/,bird,,
по,/pɔː/,"leg, foot",*pṓds,ˈæstɚɹˌɪsk pˈiːdz
пой,/pɔːj/,foot,,
Покистон,[pɔːkist̪ɔːn̪],Pakistan,,
пухтан,[puxtæn],"to cook, to bake",,
пушт,/puʃt/,"back (part of the body), rear, behind",,
пушти,/puʃti/,behind,,
пӯст,/pɵːst/,skin,,
рафиқ,[raˈfiq],"friend, mate, pal, comrade",,
рег,/reɡ/,sand,,
реша,/reʃæ/,root,,
рон,[rɔːn],(anatomy) thigh,,
рус,[rus],"Russian
Synonym: русӣ (rusī)",,
рус,[rus],"Russian (person)
Synonym: русӣ (rusī)",,
рӯбоҳ,/rɵbɔːh/,fox,,
рӯд,/rɵd/,"river
Synonyms: дарё (daryo), наҳр (nahr)",,
рӯз,/rɵːz/,"day
Се рӯз ки падарашон гум аст. ― Se rüz ki padarašon gum ast. ― Their father's been missing for three days. (literally, “Three days that their father is missing.”)",,
Рӯм,[rɵːm],"Rome, Roman Empire",,
саг,/sæɡ/,dog,,
санг,/sæŋ/,stone,,
сар,/sær/,(anatomy) head,,
саҳифа,/sæhifa/,page,,
сешанбе,[seʃanbe],Tuesday,,
соиқа,/sɔːjiqa/,"(literary) lightning, thunderbolt",,
сулфа,[sulˈfa],cough,,
тавонистан,/tavɔːnisˈtan/,"to be able to
Наметавонад. ― Nametavonad. ― He can't.",,
таробарӣ,[tʰaɾɔːbaˈɾiː],transportation,,
тарҷума,/taɾdʒuˈma/,translation,,
то,/tɔː/,until,,
тоҷик,/tɔːdʒik/,Tajik person,,
тоҷикӣ,/tɔːdʒɪˈkiː/,Tajik,,
тоҷикӣ,/tɔːdʒɪˈkiː/,Tajik (language),,
ту,/t̪u/,"you, thou (informal, grammatically singular)",,
устухон,/ustuxɔːn/,bone (anatomy),,
уқоб,/uˈqɔːb/,eagle,,
фурӯхтан,/furɵːxˈtan/,to sell,,
фурӯшанда,/furɵːʃanˈda/,"seller, vendor",,
хандидан,[xændidæn],to laugh,,
харгӯш,/xaɾɡɵːʃ/,"rabbit, hare",,
хатарнок,/xataɾˈnɔːk/,dangerous,,
хоб,/xɔːb/,dream,,
хобидан,[xɔːbiˈdæn],to sleep,,
хос,/xɔːs/,"special, particular, specific",,
хоҳар,/xɔːhær/,sister,,
хун,/xun/,blood,,
хӯрдан,[xɵːrˈdan],to eat,,
чаридан,[tʃæridæn],to graze,,
чашм,/tʃaʃm/,(anatomy) eye,,
чаҳоршанбе,/t͡ʃahɔɾʃanbe/,Wednesday,,
чинор,[t͡ʃʰiˈnɔːɾ],"chinar, oriental plane, Platanus orientalis, Platanus",,
чӯб,/tʃɵb/,wood (substance),,
шайтонпарастӣ,/ʃajtonpaɾastˈi/,Satanism,,
шанбе,/ʃanbe/,Saturday,,
шикам,/ʃikæm/,belly,,
шимол,/ʃiˈmɔːl/,north,,
шод,[ʃɔːd̪],glad,,
шох,/ʃɔːx/,branch,,
шоҳ,/ʃɔːh/,"king, shah, king (chess)",,
шумо,/ʃumɔː/,you (informal and grammatically plural),,
Шумо,/ʃumɔː/,"you (singular, formal)",,
шуморидан,[ʃumɔːridæn],to count,,
шумурдан,[ʃumurdæn],to add up,,
шунидан,[ʃunidan],to hear,,
шустан,[ʃustæn],"to wash
Ӯ дасташро мешӯяд.Ü dastašro mešüyad.He/She is washing his/her hand.",,
шуш,[ˈʃuʃ],lung,,
якшанбе,/jakʃanbe/,Sunday,,
ғ,/ʁ/,The fifth letter of the Tajik alphabet,,
Ғ,/ʁ/,"The fifth letter of the Tajik alphabet, written in the Cyrillic script.",,
ғук,/ʁuk/,toad,,
қалб,/qælb/,heart,,
қонун,/qɔːnun/,"law, statute, rule",,
қонунӣ,/qɔːnunij/,legal,,
қочоқчӣ,/qɔːtʃɔːqtʃiː/,"smuggler, trafficker",,
ҳ,/h/,"Kha with descender, a letter in the Tajik alphabet.",,
Ҳ,[h],The twenty-eighth letter of the Tajik Cyrillic alphabet. It is preceded by the letter Х (X) (Xe) and is followed by the letter Ч (Č) (Če).,,
ҳайвон,/hajvɔːn/,"animal, Synonym: ҷонвар (jonvar)",,
ҳамсоя,/hamsɔːˈja/,neighbour,,
ҳамҷинсгаро,/hamdʒinsɡaˈrɔː/,a homosexual,,
ҳамҷинсгароӣ,/hamdʒinsɡarɔːij/,homosexuality,,
ҳашара,[haʃaˈɾa],insect,,
-ҳо,[hɔː],"Creates plural form for regular nouns, Synonym: -он",,
ҷ,/dʒ/,The thirtieth letter of the Tajik alphabet,,
Ҷ,[d͡ʒ],The thirtieth letter of the Tajik Cyrillic alphabet. It is preceded by the letter Ч (Č) (Če) and is followed by the letter Ш (Š) (Še).,,
ҷангал,/dʒænɡæl/,"forest, woods",,
ҷигар,/dʒiɡær/,liver,,
ҷумъа,/d͡ʒumʔa/,"Friday
Synonym: (rare) одина (odina)",,
ҷустуҷӯ,/dʒustuˈdʒɵː/,search,,
ӣ,/ˈi/,The twelfth letter of the Tajik alphabet,,
ӯ,/ɵ/,he,,
Ӯ,[ɵː],The twenty-fifth letter of the Tajik Cyrillic alphabet. It is preceded by the letter У (U) (U) and is followed by the letter Ф (F) (Fe).,,
