L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
badimo,/baˈdi.mʊ/,"spirits, ancestors (as a focus for religious beliefs)",,
-be,/bɪ/,"bad, evil",,
bogobe,/bʊˈχɔ.bɛ/,"(type of local) porridge, stiff porridge",,
bojalwa,/bʊ.dʒal.wa/,beer,,
dia,/ˈdi.a/,to delay,,
dumela,/dumɛla/,hello,,
ee,/ˈe.ɪ/,yes,,
Gaborone,/χa.bʊ.rʊ.nɪ/,Gaborone (the capital city of Botswana),,
-gadi,/ˈχa.di/,Indicating female gender: -ess.,,
-golo,/ˈχo.lʊ/,"large, important",,
ja,/dʒa/,to eat,,
kae,/ˈkà.ɪ̀/,where,,
kae,/ˈkà.ɪ̀/,"how many, how much",,
kagiso,/kaˈχi.sɔ/,peace (absence of conflict),,
kgala,/ˈqʰa.la/,"to abuse, revile",,
kgala,/ˈqʰa.la/,distance,,
Kgalagadi,/qʰalaˈχadi/,Kalahari,,
kgama,/ˈqʰa.ma/,hartebeest,,
kgama,/ˈqʰa.ma/,"to choke, throttle",,
kgomo,/ˈqʰò.mʊ́/,cow,,
kgosi,/ˈqʰʊ.si/,"chief, chieftain; king",,
kgosigadi,/qʰʊ.siˈχa.di/,queen; chieftainess,,
kgosikgolo,/qʰʊ.siˈqʰo.lʊ/,"emperor, supreme chief",,
kgotla,/qʰʊ.tɬa/,"tribal assembly, kgotla",,
khudu,/kʰú.dú/,tortoise,,
kolobe,/kʊˈlʊ.bɛ/,pig,,
koloi,/kʊˈlo.i/,wagon; vehicle,,
kukama,/kuˈka.ma/,gemsbok,,
laeborari,/la.ɪ.bʊˈra.ri/,library,library,lˈaɪbɹɛɹi
lebele,/lɪˈbɛlɛ/,breast,,
lee,/ˈlɪ.ɪ/,egg,,
lefoko,/lɪˈfʊ.kʊ/,word,,
lekatane,/lɪ.kaˈta.nɪ/,"(non-sweet variety of) melon, (reticulated) cantaloupe; watermelon",,
loa,/ˈlɔ.a/,to bewitch,,
lodule,/lʊˈdu.lɪ/,long stay in one place,,
maši,/ma.ʃi/,milk,,
metsi,/mɛtsí/,water,,
mma,/ˈm̀.má/,"mother, madam, Mrs",,
mmutla,/m̩ˈmu.tɬa/,hare,,
mokabaowane,/mʊ.ka.ba.ʊˈwa.nɪ/,klipspringer,,
mokoro,/mʊˈkɔ.rɔ/,"canoe, mokoro, boat",,
moloi,/mʊˈlo.i/,"witch, wizard",,
monna,/mʊˈn.na/,man (human male),,
monwane,/mʊˈnwa.nɪ/,"snowberry, simpleleaf bushweed, Flueggea virosa",,
mophane,/mʊˈpʰa.nɪ/,"mopane, Colophospermum mopane",,
morena,/mʊˈrɛna/,"lord, chief, master King",,
mosadi,/mʊˈsa.di/,woman,,
motsadi,/mʊ̀.tsá.dì/,parent,,
mpho,/m̀.pʰɔ́/,gift,,
namane,/naˈma.nɪ/,calf,,
nawa,/ˈna.wa/,"bean, pea",,
ngaka,/ˈŋa.ka/,"doctor, physician",,
nku,/ŋ.kú/,sheep,,
notshi,/ˈno.tsʰi/,bee,,
-ntle,/ˈn.tɬɛ/,"beautiful, pretty",,
ntlo,/ǹ.tɬʊ̀/,house,,
ntshi,/ˈn̩.tsʰi/,"riverbank, shore",,
ntša,/ǹ.tʃá/,dog,,
ntšhe,/ˈn.tʃʰɪ/,ostrich,,
phala,/ˈpʰa.la/,impala,,
phiri,/pʰì.rì/,hyena,,
phofu,/ˈpʰɔ.fu/,eland,,
phuti,/ˈpʰu.ti/,duiker,,
podi,/pʊ.di/,goat,,
poo,/pɔ̀.ɔ̀/,bull (male cow),,
pula,/ˈpu.la/,"rain, pula (currency), a popular toast",,
rata,/ˈra.ta/,to love,,
reka,/ˈrɛ́.kà/,to buy,,
rra,/r̀.rá/,father,,
sebete,/sɪˈbe.tɪ/,liver,,
serai,/sɪˈra.i/,"trap, snare",,
seretse,/sɪˈrɛ.tsɛ/,"clay, mud",,
serurubele,/sɪ.ru.ruˈbe.lɪ/,butterfly; moth,,
-sesane,/sɪˈsa.nɪ/,thin,,
tau,/ta.u/,lion,,
thakadu,/tʰaˈka.du/,aardvark,,
thebe,/ˈtʰɛ.bɛ/,shield,,
tlhapi,/tɬʰa.pi/,fish,,
tlou,/tɬɔ̀.ù/,elephant,,
tsebe,/tsɛ.bɛ/,ear,,
tsetse,/ˈtsɛ.tsɛ/,tsetse fly,,
tshepe,/ˈtsʰɛ.pɛ/,springbok,,
tshwene,/ˈtsʰwe.nɪ/,baboon,,
tsie,/tsi.ɛ/,locust,,
