L2_orth,L2_ipa,L2_gloss,L2_etym
adenozin,ˈædənˌɑːsaɪn,(pharmacology) adenosine,adenosine
alyan,ˈælən ɹˈɛnt͡ʃ,"Allen wrench, Allen key, hex key, hex head wrench.[1]",Allen wrench
arayüz,ˈɪntɚfˌeɪs,"(computer hardware, software) interface",interface
averaj,ˈævɹɪd͡ʒ,"average, Synonym: ortalama",average
averaj,ˈævɹɪd͡ʒ,average,average
bazlı,bˈeɪst,"(Internet slang) based (praiseworthy and admirable,",based
bermuda,bɜːmjˈuːdə,Bermuda shorts,bermuda
bit,bˈɪt,(computing) bit,bit
bit,bˈɪt,second-person singular imperative of bitmek,bit
bit,bˈɪt,(computing) bit,bit
bit,bˈɪt,second-person singular imperative of bitmek,bit
bit,bˈɪt,second-person singular imperative of bitmek,bit
CD,sˌiːdˈiː,"CD, compact disc",CD
ceket,d͡ʒækˈɛt,jacket,jaquette
centilmen,d͡ʒˈɛntəlmən,"gentlemanly, polite, respectful (of a male person)",gentleman
dok,dˈɑːk,dock,dock
dildo,dˈɪldoʊ,dildo,dildo
disko,dˈɪskoʊ,"disco, discotheque, Synonym: diskotek",disco
dizüstü,lˈæptɑːp,laptop,laptop
efekt,ɪfˈɛkt,effect,effect
egzoz,ɛɡzˈɔːst,exhaust (a system consisting of the parts of an engine,exhaust
feribot,fˈɛɹɪbˌoʊt,ferry,ferryboat
flaş,flˈæʃ,"(photography) flash, camera flash, flashbulb",flash
flaş,flˈæʃ,"(news) more important than the others., (slang) attention",flash
folklor,fˈoʊkloː͡ɹ,folklore,folklore
futbol,fˈʊtbɔːl,football (soccer),football
film,fˈɪlm,"a medium used to capture images in a camera, a movie",film
finiş,fˈɪnɪʃ,finish,finish
gey,ɡˈeɪ,"A gay, a homosexual male.",gay
geyşa,d͡ʒˈeɪʃə,geisha,geisha
gol,ɡˈoʊl,"goal (act of placing the object into the goal), goal",goal
gökdelen,skˈaɪskɹeɪpɚ,skyscraper,skyscraper
hamster,hˈæmstɚ,"(zoology, mammals, rodents) hamster",hamster
jüri,d͡ʒˈʊɹɹi,"(old fashioned) jury, group in a court of law, jury,",jury
klip,klˈɪp,music video,clip
kokteyl,kˈɑːkteɪl,cocktail (alcoholic beverage),cocktail
komando,kəmˈændoʊ,commando,commando
kovboy,kˈaʊbɔɪ,cowboy,cowboy
kraker,kɹˈækɚ,A cracker,cracker
levitasyon,lˌɛvɪtˈeɪʃən,levitation,levitation
lokasyon,loʊkˈeɪʃən,"location, Synonym: konum",location
lord,lˈɔː͡ɹd,"lord, Hypernym: asilzade",lord
lider,lˈiːdɚ,"leader, Synonym: önder",leader
market,mˈɑː͡ɹkɪt,market,market
masaüstü,dˈɛsktɑːp,desktop,desktop
materyal,mˈæt ɹˈiːl,material,matériel
materyalizm,mˈæt ɹˈaɪəlˌɪsmi,"(philosophy) materialism (all senses), Synonym: özdekçilik",matérialisme
maç,mˈæt͡ʃ,(sports) match,match
maço,mˈæt͡ʃoʊ,macho,macho
mobbing,mˈɑːbɪŋ,"mobbing (workplace bullying), Synonym: bezdiri",mobbing
moron,mˈɔːɹɑːn,"fool, stupid, idiot, moronic",moron
moron,mˈɔːɹɑːn,"a moron, Bir morona aşık oldum. ― I fell in love with",moron
Müge,ˈɛm,A female given name from French.,müge
net,nˈɛt,(sports) The net used in ping-pong or tennis.,net
net,nˈɛt,(sports) The net used in ping-pong or tennis.,net
nükleotit,nˈuːklɪˌɑːɾaɪd,(biochemistry) nucleotide,nucleotide
ombudsman,ˈɑːmbʌdzmən,ombudsman,ombudsman
oysa,ˈoʊ,"but, however",o
papağan,pˈɑːpɪnd͡ʒˌeɪ,parrot,popinjay
piknik,pˈɪknɪk,picnic (outdoor meal),picnic
pisi,pˈʊs,"(childish, dialectal) cat",puss
radyo,ɹˈeɪdɪˌoʊ,radio,radio
raunt,ɹˈaʊnd,"round (a stage, level, set of events in a game)",round
Roman,ˈɑː͡ɹɹoʊmˈɑːnoʊ,"a member of the Roma people, Rom, Romani, Synonym:",rromano
sandalye,sˈændəlˈændəlændˈɑːli,"chair, Sandalyenin bir ayağı kırıldı.One of the chair's","sandal, ṣandal, ṣandalī"
sandviç,sˈændwɪt͡ʃ,sandwich,sandwich
seks,sˈɛks,"sex (sexual category), sex (sexual intercourse)",sexe
seksi,sˈɛksi,sexy,sexy
sensör,sˈɛnsɚ,sensor,sensor
skor,skˈoː͡ɹ,score,score
slayt,slˈaɪd,(computing) slide (A page of a computer presentation,slide
smiley,smˈaɪli,smiley,smiley
spam,spˈæm,"(computing, Internet) spam",spam
spiker,spˈiːkɚ,"newscaster, anchorman, anchorwoman",speaker
standart,stˈændɚd,standard,standard
start,stˈɑː͡ɹt,start,start
stres,stɹˈɛs,stress (emotional pressure),stress
sör,sˈɜː,sir (all senses),sir
süveter,swˈɛɾɚ,sweater,sweater
site,sˈaɪt,(Internet) Web site,site
site,sˈaɪt,(Internet) Web site,site
taksi,tˈæksi,taxi,taxi
tayfun,taɪfˈuːn,typhoon [from 19th c.],typhoon
tenis,tˈɛnɪs,tennis,tennis
test,tˈɛst,test,test
trend,tɹˈɛnd,trend,trend
tröst,tɹˈʌst,trust (a group of businessmen or traders),trust
tundra,tˈʌndɹə,tundra,tundra
tişört,tˈiːʃˈɜːt,T-shirt,T-shirt
vaha,oʊˈeɪsɪs,oasis,oasis
voleybol,vˈɑːlɪbˌɔːl,volleyball,volleyball
video,vˈɪdɪoʊ,"video, videotape",video
Vikisözlük,vˈɪki,Wiktionary,viki
vinç,wˈɪnt͡ʃ,crane,winch
Web,wˈɛb,(Internet) the Web; the World Wide Web.,Web
wiki,wˈɪki,wiki,wiki
internet,ˈɪntɚnˌɛt,internet,internet
şerif,ʃˈɛɹɪf,sheriff,sheriff
şerif,ʃˈɛɹɪf,sheriff,sheriff
şort,ʃˈɔː͡ɹt,shorts,short
şov,ʃˈoʊ,Synonym of gösteri,show
şut,ʃˈuːt,(soccer) shoot,shoot
