L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ahsën,/ahsən/,"stone, rock",,
alente,[ˈalənde],"some, some of",,
alente,[ˈalənde],some,,
apëlìsh,[ˈapːəlɪʃ],apple,,
awèn,[aˈwɛn],person,,
awèn,[aˈwɛn],someone,,
chinke,[ˈt͡ʃiŋɡe],when?,,
chipàkw,/t͡ʃipʌkw/,shoe,,
ika,[ˈɪka],there,,
ki,[ki],you (second person singular),,
kiluna,[kiluna],"First person plural inclusive
we (we including you)",,
kiluwa,[kiluwa],"Second person plural, you (second-person plural; when",,
ku,[ku],not,,
kupahkat,[kupahkʌt],"(stative, inanimate) to be thick; it is thick",,
kwëni,[kwəni],long,,
kwëtapxki,/kwətapxki/,one hundred,,
kwëtash,/ˈkwətaʃ/,six,,
kwëti,/ˈkwətːi/,one,,
kèku,[ˈkɛku],what?,,
kèku,[ˈkɛku],thing,,
kèku,[ˈkɛku],"something, anything",,
kèxa,[ˈkɛxa],how much? how many?,,
lèkaw,/ˈlɛkaw/,sand,,
lënu,/ˈlənːu/,"man, male",,
mata,[ˈmata],"not
Kèku wënchi mata kuwatuu?Why don't you know?",,
min,/min/,"berry, huckleberry, currant; seed",,
mpi,/ᵐbiː/,water,,
munhake,/munˈhake/,"groundhog, woodchuck",,
mus,/mus/,"elk, moose",,
na,[na],that (animate),,
namès,/namɛs/,fish,,
nani,[ˈnʌni],"that one (animate), that person",,
naxa,/naxa/,three,,
ne,[nə],that (inanimate),,
neinxke,/neˈiŋxke/,forty,,
nekik,[ˈnɛkik],they,,
newa,/newa/,four,,
ni,[ni],I,,
niluna,[niluna],"First person plural exclusive
we (we, but not you)",,
nisha,/ˈniʃa/,two,,
nishash,/ˈniʃaʃ/,seven,,
nishinxke,/niˈʃiŋxke/,twenty,,
pakan,[ˈpʌkːan],width,,
palenàxk,/paˈlenʌxk/,five,,
pali,[ˈpali],other,,
pali,[ˈpali],away,,
pishkw,[piʃkʷ],nighthawk,,
punkw,[puŋkʷ],ashes; dust; powder,,
pushis,[ˈpuʃis],cat,*pešiwa,ˈæstɚɹˌɪsk pˈiː ˈɪwə
pèshkunk,/ˈpɛʃkuŋk/,nine,,
shkakw,[ʃkakʷ],skunk,,
shè,[ʃɛ],here,,
sipu,/ˈsipːu/,"river, stream",,
takuu,[ta.ˈku.u],not,,
tani,[ˈtani],where?,,
txiti,[ˈtxiti],few,,
tèlën,/ˈtɛlən/,ten,,
wa,[wa],this (animate),,
wemi,[ˈwɛmi],all,,
wikewam,[ˈwikəwam],(a) house,,
wil,[wiɫ],head,,
winkeohkwet,[wiŋɡeˈɔhkwɛt],"raven, (African) lion",,
wiyus,[wiˈyus],meat,,
xash,/xaʃ/,eight,,
xeli,[ˈxɛli],many,,
ximin,[ˈxiːmin],persimmon (fruit),,
xinkwi,[ˈxiŋɡwi],big,,
xintxke,/ˈxint.xke/,thirty,,
yu,[ju],this (inanimate),,
èhës,/ehəs/,"clam, clamshell",,
òkwës,/ˈɔkwəs/,fox,,
