L2_orth,L2_ipa,L2_gloss,L2_etym
bed,bˈɛd,bed,bed
ber,bˈɛɹ,(male or female) bear (ursid),bear
bien,baɪˈiːn,"bee, 1959, ""Lak drenas"", Volapükagased, issue 2, page",Biene
bim,bˈiːm,tree,beam
biv,bˈiːvɚ,beaver (rodent),beaver
bleinik,blˈaɪnd,blind,blind
blinön,bɹˈɪŋ,(transitive) to bring,bring
bläg,blˈæk,"(the colour) black, black colour, blackness",black
blöf,pɹiːjˈuːv,"proof, demonstration",preuve
bom,bˈoʊn,bone,bone
buk,bˈʊk,book,book
böd,bˈɜːd,bird,bird
cen,t͡ʃˈeɪnd͡ʒ,"change, transition, turn",change
cifal,sˈɪf,"cifal, leader of the Volapük movement and the Volapük",cif
citön,t͡ʃˈiːt,(obsolete) to cheat,cheat
cütön,t͡ʃˈiːt,(transitive) to cheat,cheat
dag,dˈɑː͡ɹk,"darkness, 1952, Gospul ma ‚Matthaeus‛, 8.11,12, translated",dark
dead,dˈɛd,"death, state being dead, state of death",dead
dred,dɹˈɛd,"fear, fright",dread
drim,dɹˈiːm,dream,dream
dun,tˈʌn,"deed, action, act, doing",tun
däspot,dˈɛspoʊɾi,despotism,Despotie
dök,dˈʌk,duck (bird),duck
fal,fˈɔːl,"the action of falling, (grammar) grammatical case (in",fall
fat,vˈeɪɾɚ,father,Vater
God,ɡˈɑːd,God,God
gold,ɡˈoʊld,gold,gold
gramat,ɡɹˈæmɐtˌɪk,"grammar, grammatical system of a language, grammar",Grammatik
gren,ɡɹˈeɪn,grain (British English: corn),grain
grünikön,ɡɹˈiːn,"(intransitive) to become green, turn green",green
grünön,ɡɹˈiːn,(intransitive) to be green,green
grünükön,ɡɹˈiːn,"(transitive) to make (something) green, turn (something)",green
gud,ɡˈʊd,goodness,good
hijip,hˈaɪ,ram (male sheep),hi-
hisvan,hˈɛswən,"male swan, cob, he-swan",he-swan
jidog,ʃˈɛdɑːɡ,female dog (bitch),she-dog
jijip,d͡ʒˈaɪ,ewe (female sheep),ji-
jip,ʃˈiːp,sheep (wooly ruminant animal),sheep
jisvan,ʃˈɛswən,"female swan, pen (she-swan)",she-swan
kipön,kˈiːp,to keep,keep
klil,klˈɪɹ,"lightness, clearness (referring to color)",clear
koit,kˈɔɪɾəs,"coitus, copulation, copulating, mating",coitus
konlet,kəlˈɛkʃən,"collection, set",collection
krov,kɹˈoʊ,"crow (genus Corvus, bird family Corvidae)",crow
kurad,kˈɜːɹɪd͡ʒ,"valor, courage",courage
kurat,ˈækjʊɹət,"accuracy, precision",accurate
lifön,lˈɪf,(intransitive) to live,lif
lunik,lˈɔŋ,long,long
län,lˈænd,country (nation state),land
lärnön,lˈɜːn,to learn,learn
löf,lˈʌv,love,love
milig,mˈɪlk,milk,milk
muf,mˈuːv,"motion, movement, movement, trend",move
Nelij,ˈɪŋɡlənd,England,England
nim,ˈænɪməl,animal (Animalia),animal
nuf,ɹˈuːf,roof,roof
otul,ˈɑːt,(obsolete) October (the tenth (10th) month of the year),ot-
pael,pˈeɪl,paleness (color),pale
pam,pˈɑːm,"palm, palm tree",palm
pip,pˈaɪp,pipe (for smoking),pipe
plimön,kˈɑːm plˈɪm ˈɛnt,to compliment,(com)plim(ent)
püd,pˈiːs,peace (absence of war and violence),peace
pük,spˈiːk,language,speak
rat,ɹˈæt,rat (rodent of the family Muridae),rat
red,ɹˈɛd,the colour red,red
repüblik,ˈɑː͡ɹ pʌblˈiːk,republic,république
slip,slˈiːp,sleep,sleep
slipön,slˈiːp,to sleep,sleep
snek,snˈeɪk,snake,snake
spikön,spˈiːk,(transitive) to speak,speak
stork,stˈoː͡ɹk,(male or female) stork,stork
suf,sˈʌfɚɹɪŋ,suffering,suffering
svan,swˈɑːn,swan,swan
säk,ˈæsk,"question; query, Säks suvo pasäköls., Frequently asked",ask
sök,ˈɪnsɛkt,(obsolete) insect,insect
tab,tˈeɪbəl,table (item of furniture),table
tied,tˈiː,"tea, 1951, ""Parab"", Volapükagased pro Nedänapükans,",tea
tif,θˈiːf,theft,thief
tigrid,tˈaɪɡɚ,tiger,tigre
tik,θˈɪŋk,thought (object or instance of thinking),think
tim,tˈaɪm,time,time
tood,ˈɔːɾoʊ,"car, automobile, 1937, ""Jidipan"", tr. from Vera Wheatley,",auto
tu,tˈuː,"(degree) too, excessively.",too
turturapijun,tˈɜːɾɚ,"turtle dove, turtle-dove, turtledove (archaic turtle),",turtur
Täl,ˈɪɾəli,Italy,Italy
tän,ðˈɛn,then (as a consequence) (indicating an apodosis),then
vior,ˈaɪvɚɹi,ivory (material from elephants' tusks),ivory
Volapük,ɐ d͡ʒˈɛnᵻtˌɪv mˈɔː͡ɹfiːm,"Volapük (rarely lowercase, compare the generic term",-a (“genitive morpheme”)
värb,vˈɜːbəm,(grammar) verb,verbum
vöd,wˈɜːd,word,word
Yulop,jˈʊɹɹəp,Europe,Europe
zen,zˈɪndɚ,"ash, cinder, 1952, Epistle to the Hebrews, 9.13,14,",Zinder
