L2_orth,L2_ipa,L2_gloss,L2_etym
bananerepublyk,bˈænɑːn,"banana republic, 2016 June 19, ""Tsientallen protest-bananen",banaan
banjo,bˈænd͡ʒoʊ,banjo,banjo
bist,bˈɪst,second person singular indicative of wêze,bist
bist,bˈɪst,"animal, beast, De bisten binne fuort. ― The animals",bist
bist,bˈɪst,"animal, beast, De bisten binne fuort. ― The animals",bist
fokje,fˈɑːkən,"(transitive) to breed (animals), (intransitive) to",fokken
fokje,fˈɑːkən,"breeding, 1911, A. Rauwerda:, Ús foarâlders [hienen]",fokken
fokje,fˈɑːkən,"to hoist a foresail; hoist the jib, (figuratively)",fokken
fokje,fˈɑːkən,"to hoist a foresail; hoist the jib, (figuratively)",fokken
hjoed,hɪˈoʊdə,"today, Hjoed wurke ik mei myn freon. ― I worked with",hiōda
keal,kˈeɪl,"bald, hairless, Myn pake hat in keale holle.My grandpa",kale
keal,kˈeɪl,"calf (young cow), As de keallen op it iis dûnsje.If",kale
keal,kˈeɪl,"calf (young cow), As de keallen op it iis dûnsje.If",kale
laitsje,ˈeɪt͡ʃlˈækiə,to laugh,hlakia
learling,lˈɪɹ,"pupil, student, disciple",leare
lobje,lˈʌbən,"to castrate, neuter, geld, to jerk off",lubben
lok,lˈʌk,"luck, fortune, Synonym: gelok",luck
mem,ˈæstɚɹˌɪsk mˈoʊm,"mother, mom, Coordinate term: heit",*mōme
miene,mˈiːnə,"to think, to mean",mēna
oant,ʌntˈɪl,"till, until, Oant 1944 hearde Yslân by Denemarken.Until",until
oant,ʌntˈɪl,"until, up to the time when (some condition occurs),",until
oprjocht,ˈɑːp,"true, genuine, real, Bûter, brea en griene tsiis; wa't",op-
risiko,ɹˈɪsɪkˌoʊ,risk,risico
robbe,ɹˈæbɪt,"seal, Synonym: seehûn",rabbit
skrieme,skɹˈiːm,to weep,scream
soarch,sˈoː͡ɹd͡ʒ,"care, concern, worry",sorge
sport,spˈoː͡ɹt,sport (physical activity),sport
teamwurk,tˈiːm,teamwork,team
tún,tˈuːɪn,garden,tuin
write,ɹˈiːɾə,"to rip, to tear, to be painful, to sting",wrīta
