L2_orth,L2_ipa,L2_gloss,L2_etym
i-inki,ˈɪŋk,ink,ink
ibhari,bˈɑː͡ɹ,bar (an establishment where alcohol is served),bar
ibhasi,bˈʌs,bus,bus
ibhayisikile,bˈaɪsɪkəl,bicycle,bicycle
ibhokisi,bˈɑːks,box,box
ibhola,bˈɔːl,ball,ball
ibhotile,bˈɑːɾəl,bottle,bottle
idinala,dˈɪnɚ,dinner,dinner
ifama,fˈɑː͡ɹm,farm,farm
igadi,ɡˈɑː͡ɹdən,garden,garden
igaraji,ɡɚɹˈɑːʒ,garage,garage
igolide,ɡˈoʊld,gold,gold
ihotele,hoʊtˈɛl,hotel,hotel
ijam,d͡ʒˈæm,jam,jam
ijezi,d͡ʒˈɜːsi,"jersey, jumper, pullover",jersey
ijogo,d͡ʒˈʌɡ,jug,jug
ikeki,kˈeɪk,cake,cake
ikhabhathi,kˈʌbəd,cupboard,cupboard
ilori,lˈɔɹi,lorry,lorry
ipalamente,pˈɑː͡ɹləmənt,parliament,parliament
ipasi,pˈæs,pass,pass
ipetroli,pˈɛtɹəl,petrol,petrol
ipholishi,pˈɑːlɪʃ,polish,polish
ipleyiti,plˈeɪt,plate,plate
isengwitshi,sˈændwɪt͡ʃ,sandwich,sandwich
isofa,sˈoʊfə,sofa,sofa
isosala,sˈɔːsɚ,saucer,saucer
itawuli,tˈaʊəl,towel,towel
iti,tˈiː,tea,tea
itipoti,tˈiːpɑːt,teapot,teapot
ititshala,tˈiːt͡ʃɚ,teacher,teacher
iwayini,wˈaɪn,wine,wine
ikhaphetshu,kˈæbɪd͡ʒ,cabbage,cabbage
ikhitshi,kˈɪt͡ʃən,kitchen,kitchen
isileyiti,slˈeɪt,slate,slate
iMelika,ɐmˈɛɹɪkə,America (a country in North America),America
i-orenji,ˈɔɹɪnd͡ʒ,orange,orange
iphepha,pˈeɪpɚ,paper,paper
isitampu,stˈæmp,stamp,stamp
intente,tˈɛnt,tent,tent
